Dist,Probability , Error, Rel Err, $N$, mu
4.0, 7.932$\times 10^{-3}$, 3.261$\times 10^{-3}$, 41.10\%, 100,  -3.368
4.0, 9.489$\times 10^{-3}$, 2.379$\times 10^{-3}$, 25.06\%, 1000, -4.000 
4.0, 2.062$\times 10^{-2}$, 7.153$\times 10^{-4}$, 3.46\%, 100000, -0.842

6.0, 2.830$\times 10^{-5}$, 2.013$\times 10^{-5}$, 71.15\%, 100,  -6.000
6.0, 2.143$\times 10^{-5}$, 6.983$\times 10^{-6}$, 32.59\%, 1000, -6.000
6.0, 5.763$\times 10^{-5}$, 6.626$\times 10^{-6}$, 11.49\%, 100000, -4.105

8.0, 3.881$\times 10^{-9}$, 2.751$\times 10^{-9}$, 70.89\%, 100, -8.0 
8.0, 5.087$\times 10^{-9}$, 2.089$\times 10^{-9}$, 41.06\%, 1000, -8.0 
8.0, 1.673$\times 10^{-8}$, 2.678$\times 10^{-9}$, 16.00\%, 100000, -7.578